CUSTOMER_ID,STORE_NUMBER,ORDER_ID,ORDER_CHANNEL_NAME,ORDER_SUBCHANNEL_NAME,ORDER_OCCASION_NAME,CUSTOMER_TYPE,item1,item2,item3,RECOMMENDATION 1,RECOMMENDATION 2,RECOMMENDATION 3
997177535,4915,9351345556,Digital,WWT,ToGo,Guest,Chicken Sub Combo,Ranch Dip - Regular,10 pc Spicy Wings Combo,10 pc Grilled Wings Combo,Regular Buffalo Fries,Ranch Dip - Large
345593831,949,3595377080,Digital,WWT,ToGo,Registered,Regular Buffalo Fries,10 pc Spicy Wings,3 pc Crispy Strips Combo,Ranch Dip - Regular,10 pc Grilled Wings,Fried Corn - Regular
160955031,2249,4071757785,Digital,WWT,ToGo,Guest,Large Buffalo Fries,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Large
890671991,4154,3931766769,Digital,WWT,ToGo,Guest,6 pc Grilled Wings Combo,20 pc Grilled Wings,Fried Corn - Large,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal
73989021,4094,3739700809,Digital,WWT,ToGo,Registered,Regular Buffalo Fries,20 pc Grilled Wings,Ranch Dip - Large,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries
965629024,2734,1160484742,Digital,WWT,ToGo,Guest,3 pc Crispy Strips Combo,Chicken Sub Combo,Chicken Sub,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
554043002,430,3507129215,Digital,WWT,ToGo,Registered,10 pc Spicy Wings,Ranch Dip - Regular,Veggie Sticks Spicy,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
908406400,2513,2494847505,Digital,WWT,ToGo,Registered,Ranch Dip - Regular,Add 5 Spicy Wings,8 pc Spicy Wings Combo,10 pc Grilled Wings Combo,Regular Buffalo Fries,Ranch Dip - Large
680349080,820,9679605865,Digital,WWT,ToGo,Guest,Fried Corn - Regular,Chicken Sub,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
123249698,949,8053157007,Digital,WWT,ToGo,Registered,20 pc Grilled Wings,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Spicy Wings,Ranch Dip - Large,Large Buffalo Fries
847896994,1905,1472986083,Digital,WWT,ToGo,Registered,8 pc Spicy Wings Combo,8 pc Grilled Wings Combo,Chicken Sub Combo,Ranch Dip - Regular,6 pc Grilled Wings Combo,Fried Corn - Regular
92774953,820,5119671888,Digital,WWT,ToGo,Guest,15 pc Spicy Wings Combo,5 pc Crispy Strips Combo,Voodoo Fries - Regular,Ranch Dip - Regular,Fried Corn - Regular,10 pc Spicy Wings
496794905,400,71920208,Digital,WWT,ToGo,Registered,2 pc Crispy Strips,6 pc Grilled Wings Combo,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo
432013277,820,6921313413,Digital,WWT,ToGo,Registered,Ranch Dip - Regular,6 pc Spicy Wings Combo,Fried Corn - Large,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
330944162,4750,1458039332,Digital,WWT,ToGo,Registered,30 pc Family Grilled Wings,2 pc Crispy Strips,Ranch Dip - Regular,Regular Buffalo Fries,20pc Spicy Feast Deal,Ranch Dip - Large
665934240,3302,8599974689,Digital,WWT,ToGo,Registered,Honey Mustard Dip - Regular,Large Buffalo Fries,Chicken Sub,Ranch Dip - Regular,20pc Spicy Feast Deal,Regular Buffalo Fries
390525242,1905,3813306858,Digital,WWT,ToGo,Guest,3 Strips Lunch,10 pc Grilled Wings,5 pc Crispy Strips Combo,Ranch Dip - Regular,Regular Buffalo Fries,2 pc Crispy Strips
657511802,1905,6103196605,Digital,WWT,ToGo,Registered,Add 5 Grilled Wings,8 pc Grilled Wings Combo,20pc Spicy Feast Deal,Ranch Dip - Regular,10 pc Grilled Wings Combo,Regular Buffalo Fries
488888638,4391,1733472163,Digital,WWT,ToGo,Guest,10 pc Grilled Wings,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Grilled Wings Combo,Ranch Dip - Large
890212956,2249,9115730530,Digital,WWT,Delivery,Registered,Chicken Sub,Ranch Dip - Regular,10 pc Grilled Wings Combo,20pc Spicy Feast Deal,Regular Buffalo Fries,Ranch Dip - Large
